INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 509813895
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x138078000, 0x138078200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x10d800000,0x10d802000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	pulse  exec/s: 1 rss: 260Mb
#2	INITED exec/s: 1 rss: 260Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 287Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 287Mb
#16	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 287Mb
#18	NEW    cov: 11 ft: 11 corp: 2/3b lim: 4 exec/s: 2 rss: 287Mb L: 2/2 MS: 1 InsertByte-
#32	pulse  cov: 11 ft: 11 corp: 2/3b lim: 4 exec/s: 2 rss: 287Mb
#64	pulse  cov: 11 ft: 11 corp: 2/3b lim: 4 exec/s: 2 rss: 287Mb
#65	NEW    cov: 11 ft: 22 corp: 3/5b lim: 4 exec/s: 2 rss: 287Mb L: 2/2 MS: 2 ChangeBit-ChangeByte-
#74	NEW    cov: 11 ft: 33 corp: 4/8b lim: 4 exec/s: 2 rss: 287Mb L: 3/3 MS: 4 InsertByte-CrossOver-EraseBytes-ChangeBit-
#128	pulse  cov: 11 ft: 33 corp: 4/8b lim: 4 exec/s: 2 rss: 287Mb
#135	NEW    cov: 11 ft: 44 corp: 5/12b lim: 4 exec/s: 2 rss: 287Mb L: 4/4 MS: 1 CopyPart-
#256	pulse  cov: 11 ft: 44 corp: 5/12b lim: 4 exec/s: 2 rss: 287Mb
#268	REDUCE cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 2 rss: 287Mb L: 1/4 MS: 3 ShuffleBytes-ShuffleBytes-EraseBytes-
#512	pulse  cov: 11 ft: 44 corp: 5/11b lim: 6 exec/s: 2 rss: 287Mb
#603	REDUCE cov: 14 ft: 47 corp: 6/17b lim: 6 exec/s: 2 rss: 287Mb L: 6/6 MS: 5 ChangeBit-ChangeByte-InsertRepeatedBytes-ChangeByte-ShuffleBytes-
#655	NEW    cov: 15 ft: 48 corp: 7/23b lim: 6 exec/s: 2 rss: 287Mb L: 6/6 MS: 2 CopyPart-CrossOver-
#701	NEW    cov: 24 ft: 57 corp: 8/29b lim: 6 exec/s: 2 rss: 287Mb L: 6/6 MS: 1 ChangeBinInt-
#720	NEW    cov: 31 ft: 64 corp: 9/35b lim: 6 exec/s: 2 rss: 287Mb L: 6/6 MS: 4 CopyPart-ChangeBit-ShuffleBytes-CrossOver-
#767	NEW    cov: 31 ft: 71 corp: 10/41b lim: 6 exec/s: 2 rss: 287Mb L: 6/6 MS: 2 ShuffleBytes-ChangeBit-
#825	NEW    cov: 36 ft: 76 corp: 11/47b lim: 6 exec/s: 2 rss: 308Mb L: 6/6 MS: 3 InsertByte-InsertByte-CopyPart-
#889	REDUCE cov: 36 ft: 76 corp: 11/46b lim: 6 exec/s: 2 rss: 308Mb L: 5/6 MS: 4 ChangeByte-EraseBytes-ChangeByte-CrossOver-
#970	NEW    cov: 36 ft: 77 corp: 12/52b lim: 6 exec/s: 2 rss: 308Mb L: 6/6 MS: 1 CrossOver-
#980	NEW    cov: 36 ft: 80 corp: 13/58b lim: 6 exec/s: 2 rss: 308Mb L: 6/6 MS: 5 EraseBytes-ChangeByte-ChangeByte-InsertByte-InsertByte-
#1024	pulse  cov: 36 ft: 80 corp: 13/58b lim: 6 exec/s: 2 rss: 308Mb
#1112	REDUCE cov: 36 ft: 80 corp: 13/57b lim: 6 exec/s: 2 rss: 308Mb L: 5/6 MS: 2 ChangeBit-EraseBytes-
#1124	NEW    cov: 36 ft: 89 corp: 14/63b lim: 6 exec/s: 2 rss: 308Mb L: 6/6 MS: 2 ChangeBit-ChangeBinInt-
#1252	REDUCE cov: 36 ft: 94 corp: 15/69b lim: 6 exec/s: 2 rss: 308Mb L: 6/6 MS: 3 InsertByte-ChangeBit-ChangeByte-
#1534	NEW    cov: 36 ft: 99 corp: 16/77b lim: 8 exec/s: 2 rss: 308Mb L: 8/8 MS: 2 ChangeBinInt-CrossOver-
#1605	NEW    cov: 36 ft: 104 corp: 17/85b lim: 8 exec/s: 2 rss: 308Mb L: 8/8 MS: 1 ChangeBinInt-
#1746	NEW    cov: 36 ft: 113 corp: 18/93b lim: 8 exec/s: 2 rss: 308Mb L: 8/8 MS: 1 CopyPart-
#1750	NEW    cov: 36 ft: 114 corp: 19/101b lim: 8 exec/s: 2 rss: 308Mb L: 8/8 MS: 4 CopyPart-CrossOver-ShuffleBytes-CopyPart-
#1786	NEW    cov: 36 ft: 123 corp: 20/108b lim: 8 exec/s: 2 rss: 308Mb L: 7/8 MS: 1 EraseBytes-
#1792	NEW    cov: 36 ft: 124 corp: 21/115b lim: 8 exec/s: 2 rss: 308Mb L: 7/8 MS: 1 EraseBytes-
#1843	NEW    cov: 36 ft: 127 corp: 22/123b lim: 8 exec/s: 2 rss: 308Mb L: 8/8 MS: 1 InsertRepeatedBytes-
#1875	NEW    cov: 36 ft: 130 corp: 23/130b lim: 8 exec/s: 2 rss: 308Mb L: 7/8 MS: 2 ChangeBinInt-CMP- DE: "\377\377\377\377"-
#1892	NEW    cov: 36 ft: 137 corp: 24/138b lim: 8 exec/s: 2 rss: 308Mb L: 8/8 MS: 2 CopyPart-ShuffleBytes-
#2019	NEW    cov: 36 ft: 144 corp: 25/146b lim: 8 exec/s: 2 rss: 338Mb L: 8/8 MS: 2 CopyPart-ChangeBit-
#2048	pulse  cov: 36 ft: 144 corp: 25/146b lim: 8 exec/s: 2 rss: 338Mb
#2347	NEW    cov: 37 ft: 145 corp: 26/157b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 3 PersAutoDict-ChangeBinInt-CrossOver- DE: "\377\377\377\377"-
#2371	NEW    cov: 40 ft: 148 corp: 27/168b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 4 ShuffleBytes-ShuffleBytes-ChangeBinInt-CrossOver-
#2378	NEW    cov: 40 ft: 151 corp: 28/177b lim: 11 exec/s: 2 rss: 357Mb L: 9/11 MS: 2 PersAutoDict-InsertByte- DE: "\377\377\377\377"-
#2434	NEW    cov: 40 ft: 152 corp: 29/187b lim: 11 exec/s: 2 rss: 357Mb L: 10/11 MS: 1 EraseBytes-
#2438	NEW    cov: 43 ft: 155 corp: 30/198b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 4 ShuffleBytes-CrossOver-CopyPart-PersAutoDict- DE: "\377\377\377\377"-
#2598	NEW    cov: 43 ft: 156 corp: 31/209b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 5 InsertByte-CrossOver-ChangeByte-ChangeASCIIInt-InsertRepeatedBytes-
#2695	NEW    cov: 50 ft: 163 corp: 32/220b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 2 CopyPart-InsertByte-
#2847	REDUCE cov: 50 ft: 163 corp: 32/219b lim: 11 exec/s: 2 rss: 357Mb L: 5/11 MS: 2 CopyPart-EraseBytes-
#2860	NEW    cov: 53 ft: 166 corp: 33/230b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 3 ChangeByte-ChangeBinInt-CopyPart-
#2915	NEW    cov: 53 ft: 169 corp: 34/240b lim: 11 exec/s: 2 rss: 357Mb L: 10/11 MS: 5 ShuffleBytes-ShuffleBytes-ChangeBit-ShuffleBytes-ChangeBit-
#2918	REDUCE cov: 54 ft: 170 corp: 35/249b lim: 11 exec/s: 2 rss: 357Mb L: 9/11 MS: 3 InsertByte-ChangeBit-InsertRepeatedBytes-
#3090	NEW    cov: 54 ft: 173 corp: 36/260b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 2 PersAutoDict-CMP- DE: "\377\377\377\377"-"\000\000"-
#3106	NEW    cov: 55 ft: 174 corp: 37/271b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 1 ChangeByte-
#3153	NEW    cov: 55 ft: 177 corp: 38/282b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 2 CrossOver-CopyPart-
#3195	NEW    cov: 55 ft: 184 corp: 39/293b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 2 CopyPart-CopyPart-
#3346	NEW    cov: 55 ft: 185 corp: 40/304b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 1 ChangeByte-
#3364	NEW    cov: 55 ft: 192 corp: 41/315b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 3 CopyPart-ChangeByte-ShuffleBytes-
#3390	NEW    cov: 55 ft: 195 corp: 42/326b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 1 CopyPart-
#3531	NEW    cov: 60 ft: 200 corp: 43/337b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 1 CMP- DE: "\000\000"-
#3532	NEW    cov: 60 ft: 203 corp: 44/348b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#3684	NEW    cov: 65 ft: 208 corp: 45/358b lim: 11 exec/s: 2 rss: 357Mb L: 10/11 MS: 2 CrossOver-CrossOver-
#3878	NEW    cov: 65 ft: 213 corp: 46/367b lim: 11 exec/s: 2 rss: 357Mb L: 9/11 MS: 4 InsertByte-ChangeBit-ChangeBit-ShuffleBytes-
#4096	pulse  cov: 65 ft: 213 corp: 46/367b lim: 11 exec/s: 2 rss: 357Mb
#4225	NEW    cov: 68 ft: 216 corp: 47/381b lim: 14 exec/s: 2 rss: 357Mb L: 14/14 MS: 2 CopyPart-InsertRepeatedBytes-
