INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 500198463
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x150078000, 0x150078200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x119800000,0x119802000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	pulse  exec/s: 1 rss: 245Mb
#2	INITED exec/s: 1 rss: 245Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 281Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 313Mb
#10	NEW    cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 1 rss: 319Mb L: 1/1 MS: 3 CrossOver-ShuffleBytes-ChangeByte-
#11	NEW    cov: 11 ft: 22 corp: 3/4b lim: 4 exec/s: 1 rss: 319Mb L: 2/2 MS: 1 InsertByte-
#16	pulse  cov: 11 ft: 22 corp: 3/4b lim: 4 exec/s: 2 rss: 325Mb
#28	NEW    cov: 11 ft: 33 corp: 4/8b lim: 4 exec/s: 2 rss: 325Mb L: 4/4 MS: 2 CrossOver-CopyPart-
#32	pulse  cov: 11 ft: 33 corp: 4/8b lim: 4 exec/s: 2 rss: 325Mb
#60	NEW    cov: 11 ft: 44 corp: 5/12b lim: 4 exec/s: 2 rss: 325Mb L: 4/4 MS: 2 CopyPart-ChangeBinInt-
#64	pulse  cov: 11 ft: 44 corp: 5/12b lim: 4 exec/s: 2 rss: 325Mb
#128	pulse  cov: 11 ft: 44 corp: 5/12b lim: 4 exec/s: 1 rss: 325Mb
#256	pulse  cov: 11 ft: 44 corp: 5/12b lim: 4 exec/s: 2 rss: 325Mb
#306	REDUCE cov: 11 ft: 44 corp: 5/11b lim: 6 exec/s: 2 rss: 325Mb L: 3/4 MS: 1 EraseBytes-
#380	REDUCE cov: 14 ft: 47 corp: 6/16b lim: 6 exec/s: 2 rss: 325Mb L: 5/5 MS: 4 ChangeBit-ChangeByte-EraseBytes-InsertRepeatedBytes-
#466	NEW    cov: 14 ft: 50 corp: 7/22b lim: 6 exec/s: 2 rss: 325Mb L: 6/6 MS: 1 InsertByte-
#489	NEW    cov: 19 ft: 55 corp: 8/27b lim: 6 exec/s: 2 rss: 325Mb L: 5/6 MS: 3 ShuffleBytes-ChangeByte-ChangeByte-
#498	NEW    cov: 26 ft: 62 corp: 9/33b lim: 6 exec/s: 2 rss: 325Mb L: 6/6 MS: 4 CrossOver-ChangeBinInt-ChangeByte-ChangeBit-
#512	pulse  cov: 26 ft: 62 corp: 9/33b lim: 6 exec/s: 2 rss: 325Mb
#590	NEW    cov: 26 ft: 69 corp: 10/39b lim: 6 exec/s: 2 rss: 325Mb L: 6/6 MS: 2 ShuffleBytes-ChangeBit-
#676	NEW    cov: 26 ft: 74 corp: 11/45b lim: 6 exec/s: 2 rss: 325Mb L: 6/6 MS: 1 CrossOver-
#816	NEW    cov: 35 ft: 83 corp: 12/51b lim: 6 exec/s: 2 rss: 325Mb L: 6/6 MS: 5 CopyPart-CopyPart-ChangeByte-ChangeBit-ChangeBinInt-
#893	NEW    cov: 35 ft: 92 corp: 13/57b lim: 6 exec/s: 2 rss: 325Mb L: 6/6 MS: 2 ChangeBinInt-ChangeByte-
#1024	pulse  cov: 35 ft: 92 corp: 13/57b lim: 6 exec/s: 2 rss: 325Mb
#1091	NEW    cov: 36 ft: 93 corp: 14/62b lim: 6 exec/s: 2 rss: 325Mb L: 5/6 MS: 3 ChangeByte-EraseBytes-ChangeBit-
#1157	NEW    cov: 36 ft: 94 corp: 15/68b lim: 6 exec/s: 2 rss: 325Mb L: 6/6 MS: 1 CopyPart-
#1478	REDUCE cov: 36 ft: 94 corp: 15/67b lim: 8 exec/s: 2 rss: 325Mb L: 5/6 MS: 1 EraseBytes-
#1541	NEW    cov: 36 ft: 101 corp: 16/75b lim: 8 exec/s: 2 rss: 337Mb L: 8/8 MS: 3 ChangeBit-CopyPart-CopyPart-
#1556	REDUCE cov: 36 ft: 102 corp: 17/83b lim: 8 exec/s: 2 rss: 337Mb L: 8/8 MS: 5 InsertByte-ShuffleBytes-ChangeBinInt-EraseBytes-CrossOver-
#1592	NEW    cov: 36 ft: 105 corp: 18/91b lim: 8 exec/s: 2 rss: 337Mb L: 8/8 MS: 1 ShuffleBytes-
#1634	NEW    cov: 36 ft: 112 corp: 19/98b lim: 8 exec/s: 2 rss: 337Mb L: 7/8 MS: 2 ChangeByte-InsertByte-
#1771	NEW    cov: 36 ft: 121 corp: 20/106b lim: 8 exec/s: 2 rss: 337Mb L: 8/8 MS: 2 ShuffleBytes-ChangeByte-
#1994	NEW    cov: 36 ft: 124 corp: 21/114b lim: 8 exec/s: 2 rss: 338Mb L: 8/8 MS: 3 ChangeBinInt-CopyPart-CrossOver-
#2048	pulse  cov: 36 ft: 124 corp: 21/114b lim: 8 exec/s: 2 rss: 338Mb
#2305	NEW    cov: 39 ft: 127 corp: 22/124b lim: 11 exec/s: 2 rss: 338Mb L: 10/10 MS: 1 InsertRepeatedBytes-
#2364	NEW    cov: 40 ft: 128 corp: 23/134b lim: 11 exec/s: 2 rss: 338Mb L: 10/10 MS: 4 EraseBytes-ShuffleBytes-CopyPart-InsertRepeatedBytes-
#2367	NEW    cov: 43 ft: 131 corp: 24/143b lim: 11 exec/s: 2 rss: 338Mb L: 9/10 MS: 3 ShuffleBytes-InsertRepeatedBytes-ShuffleBytes-
#2386	NEW    cov: 43 ft: 140 corp: 25/153b lim: 11 exec/s: 2 rss: 338Mb L: 10/10 MS: 4 ChangeByte-InsertRepeatedBytes-CrossOver-ChangeByte-
#2394	NEW    cov: 43 ft: 145 corp: 26/163b lim: 11 exec/s: 2 rss: 338Mb L: 10/10 MS: 3 ShuffleBytes-CrossOver-CrossOver-
#2405	NEW    cov: 43 ft: 146 corp: 27/174b lim: 11 exec/s: 2 rss: 338Mb L: 11/11 MS: 1 InsertByte-
#2432	NEW    cov: 43 ft: 147 corp: 28/183b lim: 11 exec/s: 2 rss: 338Mb L: 9/11 MS: 2 ChangeBinInt-EraseBytes-
#2468	NEW    cov: 48 ft: 152 corp: 29/193b lim: 11 exec/s: 2 rss: 338Mb L: 10/11 MS: 1 ChangeBit-
#2536	NEW    cov: 48 ft: 153 corp: 30/202b lim: 11 exec/s: 2 rss: 350Mb L: 9/11 MS: 3 CopyPart-CrossOver-ChangeByte-
#2556	NEW    cov: 48 ft: 156 corp: 31/211b lim: 11 exec/s: 2 rss: 350Mb L: 9/11 MS: 5 InsertRepeatedBytes-ChangeBit-ShuffleBytes-ShuffleBytes-CrossOver-
#2589	NEW    cov: 51 ft: 159 corp: 32/221b lim: 11 exec/s: 2 rss: 350Mb L: 10/11 MS: 3 ChangeBinInt-ChangeByte-ChangeByte-
#2641	NEW    cov: 51 ft: 170 corp: 33/229b lim: 11 exec/s: 2 rss: 350Mb L: 8/11 MS: 2 CopyPart-InsertRepeatedBytes-
#2712	NEW    cov: 52 ft: 171 corp: 34/240b lim: 11 exec/s: 2 rss: 350Mb L: 11/11 MS: 1 CrossOver-
#2775	NEW    cov: 52 ft: 176 corp: 35/250b lim: 11 exec/s: 2 rss: 350Mb L: 10/11 MS: 3 ShuffleBytes-ShuffleBytes-ChangeByte-
#2821	NEW    cov: 52 ft: 179 corp: 36/260b lim: 11 exec/s: 2 rss: 350Mb L: 10/11 MS: 1 InsertByte-
#2887	NEW    cov: 52 ft: 182 corp: 37/271b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 1 CopyPart-
#3066	NEW    cov: 53 ft: 183 corp: 38/280b lim: 11 exec/s: 2 rss: 351Mb L: 9/11 MS: 4 InsertRepeatedBytes-ChangeBit-EraseBytes-InsertByte-
#3132	NEW    cov: 53 ft: 186 corp: 39/291b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 1 InsertByte-
#3134	NEW    cov: 53 ft: 191 corp: 40/301b lim: 11 exec/s: 2 rss: 351Mb L: 10/11 MS: 2 ShuffleBytes-ChangeBit-
#3510	NEW    cov: 54 ft: 192 corp: 41/310b lim: 14 exec/s: 2 rss: 351Mb L: 9/11 MS: 1 CrossOver-
#3641	NEW    cov: 54 ft: 197 corp: 42/321b lim: 14 exec/s: 2 rss: 351Mb L: 11/11 MS: 1 ChangeByte-
#3662	NEW    cov: 54 ft: 200 corp: 43/335b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 1 InsertRepeatedBytes-
#3671	NEW    cov: 59 ft: 205 corp: 44/349b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 4 EraseBytes-ChangeBit-InsertRepeatedBytes-CMP- DE: "\377\377"-
#3682	NEW    cov: 59 ft: 208 corp: 45/360b lim: 14 exec/s: 2 rss: 351Mb L: 11/14 MS: 1 InsertByte-
#3687	NEW    cov: 59 ft: 211 corp: 46/373b lim: 14 exec/s: 2 rss: 351Mb L: 13/14 MS: 5 InsertByte-InsertByte-ChangeBit-PersAutoDict-InsertRepeatedBytes- DE: "\377\377"-
#3699	NEW    cov: 62 ft: 216 corp: 47/384b lim: 14 exec/s: 2 rss: 351Mb L: 11/14 MS: 2 InsertByte-EraseBytes-
#3728	NEW    cov: 65 ft: 219 corp: 48/397b lim: 14 exec/s: 2 rss: 351Mb L: 13/14 MS: 4 InsertByte-CopyPart-CrossOver-ShuffleBytes-
#3734	REDUCE cov: 65 ft: 219 corp: 48/395b lim: 14 exec/s: 2 rss: 351Mb L: 8/14 MS: 1 EraseBytes-
