INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 540786762
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x1380a8000, 0x1380a8200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x118280000,0x118282000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	pulse  exec/s: 0 rss: 188Mb
#2	INITED exec/s: 0 rss: 188Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 210Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 260Mb
#16	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 274Mb
#24	NEW    cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 1 rss: 274Mb L: 1/1 MS: 2 ShuffleBytes-ChangeBit-
#32	pulse  cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 1 rss: 274Mb
#53	NEW    cov: 11 ft: 22 corp: 3/5b lim: 4 exec/s: 1 rss: 274Mb L: 3/3 MS: 4 CopyPart-ChangeBit-CopyPart-CopyPart-
#64	pulse  cov: 11 ft: 22 corp: 3/5b lim: 4 exec/s: 1 rss: 274Mb
#105	NEW    cov: 11 ft: 33 corp: 4/9b lim: 4 exec/s: 1 rss: 274Mb L: 4/4 MS: 2 CrossOver-CrossOver-
#128	pulse  cov: 11 ft: 33 corp: 4/9b lim: 4 exec/s: 1 rss: 274Mb
#162	NEW    cov: 11 ft: 44 corp: 5/13b lim: 4 exec/s: 2 rss: 274Mb L: 4/4 MS: 2 ShuffleBytes-CopyPart-
#182	REDUCE cov: 11 ft: 44 corp: 5/12b lim: 4 exec/s: 2 rss: 274Mb L: 2/4 MS: 5 CrossOver-ChangeByte-ShuffleBytes-ShuffleBytes-EraseBytes-
#256	pulse  cov: 11 ft: 44 corp: 5/12b lim: 4 exec/s: 2 rss: 290Mb
#511	REDUCE cov: 18 ft: 51 corp: 6/17b lim: 6 exec/s: 2 rss: 292Mb L: 5/5 MS: 4 EraseBytes-CopyPart-EraseBytes-InsertRepeatedBytes-
