INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 1473116340
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x1501e0000, 0x1501e0200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x13d000000,0x13d002000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	INITED exec/s: 2 rss: 311Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#3	NEW    cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 3 rss: 311Mb L: 1/1 MS: 1 ChangeBit-
#8	pulse  cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 4 rss: 314Mb
#16	pulse  cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 5 rss: 329Mb
#32	pulse  cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 5 rss: 351Mb
#35	NEW    cov: 11 ft: 22 corp: 3/4b lim: 4 exec/s: 5 rss: 351Mb L: 2/2 MS: 2 ShuffleBytes-CopyPart-
#64	pulse  cov: 11 ft: 22 corp: 3/4b lim: 4 exec/s: 5 rss: 351Mb
#79	NEW    cov: 11 ft: 33 corp: 4/8b lim: 4 exec/s: 5 rss: 351Mb L: 4/4 MS: 4 CopyPart-ShuffleBytes-ChangeByte-CrossOver-
#95	NEW    cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 5 rss: 351Mb L: 3/4 MS: 1 CrossOver-
#128	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 4 rss: 351Mb
#256	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 3 rss: 351Mb
#316	NEW    cov: 14 ft: 47 corp: 6/17b lim: 6 exec/s: 3 rss: 351Mb L: 6/6 MS: 1 InsertRepeatedBytes-
#374	NEW    cov: 14 ft: 50 corp: 7/22b lim: 6 exec/s: 3 rss: 351Mb L: 5/6 MS: 3 CrossOver-ChangeBit-EraseBytes-
#450	NEW    cov: 23 ft: 59 corp: 8/28b lim: 6 exec/s: 3 rss: 351Mb L: 6/6 MS: 1 ChangeBinInt-
#479	NEW    cov: 28 ft: 64 corp: 9/34b lim: 6 exec/s: 3 rss: 351Mb L: 6/6 MS: 4 CopyPart-CrossOver-ChangeByte-InsertByte-
#512	pulse  cov: 28 ft: 64 corp: 9/34b lim: 6 exec/s: 3 rss: 351Mb
#608	REDUCE cov: 28 ft: 64 corp: 9/33b lim: 6 exec/s: 2 rss: 351Mb L: 5/6 MS: 4 ChangeBinInt-ShuffleBytes-ShuffleBytes-EraseBytes-
#611	NEW    cov: 29 ft: 65 corp: 10/39b lim: 6 exec/s: 2 rss: 351Mb L: 6/6 MS: 3 InsertRepeatedBytes-InsertByte-InsertByte-
#612	NEW    cov: 29 ft: 74 corp: 11/45b lim: 6 exec/s: 2 rss: 351Mb L: 6/6 MS: 1 ChangeBit-
#623	NEW    cov: 36 ft: 81 corp: 12/51b lim: 6 exec/s: 2 rss: 351Mb L: 6/6 MS: 1 CopyPart-
#637	NEW    cov: 36 ft: 86 corp: 13/57b lim: 6 exec/s: 2 rss: 351Mb L: 6/6 MS: 4 ChangeBit-ChangeBit-CopyPart-InsertByte-
#763	NEW    cov: 36 ft: 87 corp: 14/63b lim: 6 exec/s: 2 rss: 351Mb L: 6/6 MS: 1 CrossOver-
#765	NEW    cov: 36 ft: 94 corp: 15/69b lim: 6 exec/s: 2 rss: 351Mb L: 6/6 MS: 2 ChangeBit-ChangeBinInt-
#1024	pulse  cov: 36 ft: 94 corp: 15/69b lim: 8 exec/s: 2 rss: 351Mb
#1139	REDUCE cov: 36 ft: 94 corp: 15/68b lim: 8 exec/s: 2 rss: 351Mb L: 5/6 MS: 4 ShuffleBytes-ChangeByte-CrossOver-ShuffleBytes-
#1146	NEW    cov: 36 ft: 99 corp: 16/75b lim: 8 exec/s: 2 rss: 351Mb L: 7/7 MS: 2 ShuffleBytes-InsertByte-
#1160	NEW    cov: 36 ft: 102 corp: 17/82b lim: 8 exec/s: 2 rss: 351Mb L: 7/7 MS: 4 CrossOver-ChangeBit-InsertByte-CopyPart-
#1345	REDUCE cov: 36 ft: 105 corp: 18/90b lim: 8 exec/s: 2 rss: 351Mb L: 8/8 MS: 5 ChangeBit-CrossOver-ChangeBit-CopyPart-InsertByte-
#1547	NEW    cov: 36 ft: 110 corp: 19/98b lim: 8 exec/s: 2 rss: 351Mb L: 8/8 MS: 2 CopyPart-ChangeBit-
#1584	REDUCE cov: 36 ft: 117 corp: 20/106b lim: 8 exec/s: 2 rss: 351Mb L: 8/8 MS: 2 ChangeBit-CrossOver-
#1682	NEW    cov: 36 ft: 124 corp: 21/113b lim: 8 exec/s: 2 rss: 351Mb L: 7/8 MS: 3 EraseBytes-ChangeByte-InsertByte-
#1700	NEW    cov: 36 ft: 135 corp: 22/121b lim: 8 exec/s: 2 rss: 351Mb L: 8/8 MS: 3 ShuffleBytes-CopyPart-InsertRepeatedBytes-
#1836	NEW    cov: 36 ft: 144 corp: 23/128b lim: 8 exec/s: 2 rss: 351Mb L: 7/8 MS: 1 CrossOver-
#1908	NEW    cov: 36 ft: 153 corp: 24/136b lim: 8 exec/s: 2 rss: 351Mb L: 8/8 MS: 2 InsertByte-ChangeBit-
#1972	REDUCE cov: 36 ft: 153 corp: 24/135b lim: 8 exec/s: 2 rss: 351Mb L: 5/8 MS: 4 InsertByte-ChangeBit-EraseBytes-ChangeByte-
#2039	NEW    cov: 36 ft: 154 corp: 25/142b lim: 8 exec/s: 2 rss: 351Mb L: 7/8 MS: 2 InsertByte-CrossOver-
#2048	pulse  cov: 36 ft: 154 corp: 25/142b lim: 8 exec/s: 2 rss: 351Mb
#2350	NEW    cov: 39 ft: 157 corp: 26/152b lim: 11 exec/s: 2 rss: 351Mb L: 10/10 MS: 1 CMP- DE: "\377\377\377\377"-
#2372	NEW    cov: 42 ft: 160 corp: 27/162b lim: 11 exec/s: 2 rss: 351Mb L: 10/10 MS: 2 InsertByte-CopyPart-
#2481	NEW    cov: 43 ft: 161 corp: 28/173b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 4 ChangeBinInt-EraseBytes-CrossOver-CopyPart-
#2486	REDUCE cov: 46 ft: 164 corp: 29/182b lim: 11 exec/s: 2 rss: 351Mb L: 9/11 MS: 5 CopyPart-InsertRepeatedBytes-CopyPart-ChangeBit-ChangeByte-
#2563	NEW    cov: 51 ft: 169 corp: 30/193b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 2 CrossOver-CrossOver-
#2565	NEW    cov: 52 ft: 170 corp: 31/203b lim: 11 exec/s: 2 rss: 351Mb L: 10/11 MS: 2 ChangeBit-PersAutoDict- DE: "\377\377\377\377"-
#2611	NEW    cov: 52 ft: 173 corp: 32/213b lim: 11 exec/s: 2 rss: 351Mb L: 10/11 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#2612	NEW    cov: 53 ft: 174 corp: 33/224b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 1 ChangeBit-
#2666	NEW    cov: 58 ft: 179 corp: 34/233b lim: 11 exec/s: 2 rss: 351Mb L: 9/11 MS: 4 EraseBytes-InsertByte-ShuffleBytes-InsertByte-
#2737	NEW    cov: 58 ft: 180 corp: 35/244b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 1 ShuffleBytes-
#2770	NEW    cov: 58 ft: 183 corp: 36/255b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 3 ChangeByte-ChangeByte-PersAutoDict- DE: "\377\377\377\377"-
#2893	NEW    cov: 58 ft: 184 corp: 37/266b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 3 CrossOver-ShuffleBytes-ShuffleBytes-
#2909	NEW    cov: 58 ft: 187 corp: 38/276b lim: 11 exec/s: 2 rss: 351Mb L: 10/11 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#3005	NEW    cov: 58 ft: 190 corp: 39/287b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#3006	NEW    cov: 58 ft: 195 corp: 40/298b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 1 ChangeBit-
#3153	NEW    cov: 58 ft: 196 corp: 41/309b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 2 ChangeByte-ChangeByte-
#3285	NEW    cov: 58 ft: 199 corp: 42/320b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 2 ChangeByte-InsertRepeatedBytes-
#3455	NEW    cov: 58 ft: 204 corp: 43/330b lim: 11 exec/s: 2 rss: 351Mb L: 10/11 MS: 5 ShuffleBytes-EraseBytes-ShuffleBytes-ShuffleBytes-CrossOver-
#3636	NEW    cov: 58 ft: 207 corp: 44/341b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 1 CrossOver-
#3752	NEW    cov: 58 ft: 208 corp: 45/349b lim: 11 exec/s: 2 rss: 351Mb L: 8/11 MS: 1 ChangeBit-
#3779	NEW    cov: 58 ft: 213 corp: 46/359b lim: 11 exec/s: 2 rss: 351Mb L: 10/11 MS: 2 ChangeBinInt-ShuffleBytes-
#3842	NEW    cov: 58 ft: 214 corp: 47/370b lim: 11 exec/s: 2 rss: 351Mb L: 11/11 MS: 3 CrossOver-ChangeByte-ChangeBinInt-
#4096	pulse  cov: 58 ft: 214 corp: 47/370b lim: 11 exec/s: 2 rss: 351Mb
#4231	NEW    cov: 59 ft: 215 corp: 48/384b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 4 ChangeBinInt-CrossOver-CopyPart-ChangeByte-
#4273	REDUCE cov: 62 ft: 218 corp: 49/397b lim: 14 exec/s: 2 rss: 351Mb L: 13/14 MS: 2 InsertByte-InsertRepeatedBytes-
#4349	NEW    cov: 62 ft: 219 corp: 50/407b lim: 14 exec/s: 2 rss: 351Mb L: 10/14 MS: 1 ChangeByte-
#4351	NEW    cov: 62 ft: 220 corp: 51/421b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 2 InsertByte-CopyPart-
#4372	NEW    cov: 62 ft: 223 corp: 52/435b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 1 CopyPart-
#4584	NEW    cov: 62 ft: 228 corp: 53/449b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 2 CrossOver-InsertRepeatedBytes-
#4666	NEW    cov: 62 ft: 229 corp: 54/462b lim: 14 exec/s: 2 rss: 351Mb L: 13/14 MS: 2 ChangeByte-CMP- DE: "\001\000"-
#4684	NEW    cov: 69 ft: 236 corp: 55/475b lim: 14 exec/s: 2 rss: 351Mb L: 13/14 MS: 3 ChangeBinInt-ChangeByte-CrossOver-
#4908	NEW    cov: 70 ft: 237 corp: 56/489b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 4 ChangeByte-CopyPart-InsertByte-ChangeBinInt-
#4918	NEW    cov: 70 ft: 238 corp: 57/503b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 5 ChangeByte-CrossOver-ChangeBit-ShuffleBytes-CrossOver-
#4990	NEW    cov: 70 ft: 245 corp: 58/517b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 2 InsertByte-ChangeByte-
#5031	NEW    cov: 70 ft: 250 corp: 59/531b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 1 CrossOver-
#5078	NEW    cov: 71 ft: 251 corp: 60/545b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 2 ShuffleBytes-ChangeBinInt-
#5120	NEW    cov: 71 ft: 252 corp: 61/558b lim: 14 exec/s: 2 rss: 351Mb L: 13/14 MS: 2 ChangeBit-EraseBytes-
#5186	NEW    cov: 72 ft: 253 corp: 62/572b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 1 InsertRepeatedBytes-
#5247	NEW    cov: 72 ft: 258 corp: 63/582b lim: 14 exec/s: 2 rss: 351Mb L: 10/14 MS: 1 InsertByte-
#5339	NEW    cov: 72 ft: 261 corp: 64/594b lim: 14 exec/s: 2 rss: 351Mb L: 12/14 MS: 2 ChangeBinInt-CopyPart-
#5380	NEW    cov: 72 ft: 262 corp: 65/608b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 1 InsertByte-
#5391	NEW    cov: 72 ft: 265 corp: 66/620b lim: 14 exec/s: 2 rss: 351Mb L: 12/14 MS: 1 InsertByte-
#5429	NEW    cov: 73 ft: 266 corp: 67/634b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 3 ShuffleBytes-ChangeBinInt-ChangeByte-
#5466	NEW    cov: 73 ft: 269 corp: 68/647b lim: 14 exec/s: 2 rss: 351Mb L: 13/14 MS: 2 CrossOver-InsertRepeatedBytes-
#5542	NEW    cov: 73 ft: 270 corp: 69/661b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 1 ShuffleBytes-
#5549	NEW    cov: 73 ft: 277 corp: 70/670b lim: 14 exec/s: 2 rss: 351Mb L: 9/14 MS: 2 PersAutoDict-EraseBytes- DE: "\001\000"-
#5560	NEW    cov: 73 ft: 282 corp: 71/682b lim: 14 exec/s: 2 rss: 351Mb L: 12/14 MS: 1 CopyPart-
#5678	NEW    cov: 74 ft: 283 corp: 72/695b lim: 14 exec/s: 2 rss: 351Mb L: 13/14 MS: 3 ShuffleBytes-EraseBytes-PersAutoDict- DE: "\377\377\377\377"-
#5729	NEW    cov: 74 ft: 284 corp: 73/709b lim: 14 exec/s: 2 rss: 351Mb L: 14/14 MS: 1 ChangeBit-
