INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 2044746017
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x130080000, 0x130080200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x11c480000,0x11c482000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	INITED exec/s: 2 rss: 261Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 289Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 302Mb
#16	pulse  corp: 1/1b lim: 4 exec/s: 3 rss: 313Mb
#20	NEW    cov: 11 ft: 11 corp: 2/3b lim: 4 exec/s: 3 rss: 314Mb L: 2/2 MS: 3 InsertByte-EraseBytes-InsertByte-
#26	NEW    cov: 11 ft: 22 corp: 3/5b lim: 4 exec/s: 3 rss: 314Mb L: 2/2 MS: 1 ChangeByte-
#30	NEW    cov: 11 ft: 33 corp: 4/8b lim: 4 exec/s: 3 rss: 314Mb L: 3/3 MS: 4 CopyPart-ChangeBinInt-CrossOver-CrossOver-
#31	REDUCE cov: 11 ft: 33 corp: 4/7b lim: 4 exec/s: 3 rss: 314Mb L: 1/3 MS: 1 EraseBytes-
#32	pulse  cov: 11 ft: 33 corp: 4/7b lim: 4 exec/s: 3 rss: 314Mb
#37	NEW    cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 3 rss: 314Mb L: 4/4 MS: 1 CopyPart-
#64	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 2 rss: 314Mb
#128	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 2 rss: 314Mb
#256	pulse  cov: 11 ft: 44 corp: 5/11b lim: 6 exec/s: 2 rss: 314Mb
#512	pulse  cov: 11 ft: 44 corp: 5/11b lim: 8 exec/s: 2 rss: 327Mb
#539	NEW    cov: 14 ft: 47 corp: 6/18b lim: 8 exec/s: 2 rss: 327Mb L: 7/7 MS: 2 CrossOver-InsertRepeatedBytes-
#557	NEW    cov: 14 ft: 50 corp: 7/25b lim: 8 exec/s: 2 rss: 327Mb L: 7/7 MS: 3 InsertByte-ChangeBinInt-InsertRepeatedBytes-
#571	NEW    cov: 21 ft: 57 corp: 8/33b lim: 8 exec/s: 2 rss: 327Mb L: 8/8 MS: 4 CrossOver-ShuffleBytes-InsertByte-ChangeBit-
#577	NEW    cov: 21 ft: 64 corp: 9/41b lim: 8 exec/s: 2 rss: 327Mb L: 8/8 MS: 1 ChangeBit-
#580	NEW    cov: 26 ft: 69 corp: 10/48b lim: 8 exec/s: 2 rss: 327Mb L: 7/8 MS: 3 ShuffleBytes-ShuffleBytes-InsertRepeatedBytes-
#598	NEW    cov: 26 ft: 74 corp: 11/56b lim: 8 exec/s: 2 rss: 327Mb L: 8/8 MS: 3 CopyPart-CMP-CopyPart- DE: "\377\377"-
#604	NEW    cov: 26 ft: 81 corp: 12/64b lim: 8 exec/s: 2 rss: 327Mb L: 8/8 MS: 1 CopyPart-
#623	NEW    cov: 26 ft: 92 corp: 13/72b lim: 8 exec/s: 2 rss: 327Mb L: 8/8 MS: 4 CrossOver-InsertByte-ChangeBinInt-CopyPart-
#631	NEW    cov: 27 ft: 93 corp: 14/78b lim: 8 exec/s: 2 rss: 327Mb L: 6/8 MS: 3 EraseBytes-InsertByte-ChangeBinInt-
#678	NEW    cov: 36 ft: 102 corp: 15/86b lim: 8 exec/s: 2 rss: 327Mb L: 8/8 MS: 2 PersAutoDict-InsertByte- DE: "\377\377"-
#696	NEW    cov: 36 ft: 107 corp: 16/94b lim: 8 exec/s: 2 rss: 327Mb L: 8/8 MS: 3 CrossOver-ChangeBinInt-CrossOver-
#700	REDUCE cov: 36 ft: 107 corp: 16/92b lim: 8 exec/s: 2 rss: 327Mb L: 5/8 MS: 4 CopyPart-ChangeByte-EraseBytes-EraseBytes-
#781	NEW    cov: 36 ft: 108 corp: 17/100b lim: 8 exec/s: 2 rss: 327Mb L: 8/8 MS: 1 ChangeBit-
#837	NEW    cov: 36 ft: 111 corp: 18/108b lim: 8 exec/s: 2 rss: 327Mb L: 8/8 MS: 1 InsertByte-
#873	REDUCE cov: 36 ft: 111 corp: 18/105b lim: 8 exec/s: 2 rss: 327Mb L: 5/8 MS: 1 EraseBytes-
#929	NEW    cov: 36 ft: 120 corp: 19/113b lim: 8 exec/s: 2 rss: 327Mb L: 8/8 MS: 1 CrossOver-
#932	NEW    cov: 36 ft: 125 corp: 20/121b lim: 8 exec/s: 2 rss: 327Mb L: 8/8 MS: 3 ShuffleBytes-ChangeBinInt-InsertByte-
#961	NEW    cov: 36 ft: 126 corp: 21/128b lim: 8 exec/s: 2 rss: 327Mb L: 7/8 MS: 4 InsertByte-CopyPart-ChangeByte-ChangeBinInt-
#969	NEW    cov: 36 ft: 127 corp: 22/136b lim: 8 exec/s: 2 rss: 327Mb L: 8/8 MS: 3 CrossOver-CrossOver-ChangeBinInt-
#1024	pulse  cov: 36 ft: 127 corp: 22/136b lim: 8 exec/s: 2 rss: 327Mb
#1155	REDUCE cov: 36 ft: 127 corp: 22/135b lim: 8 exec/s: 2 rss: 329Mb L: 6/8 MS: 1 EraseBytes-
#1171	NEW    cov: 36 ft: 136 corp: 23/143b lim: 8 exec/s: 2 rss: 329Mb L: 8/8 MS: 1 ChangeByte-
#1511	NEW    cov: 37 ft: 145 corp: 24/154b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 5 ShuffleBytes-ShuffleBytes-ShuffleBytes-InsertByte-PersAutoDict- DE: "\377\377"-
#1515	REDUCE cov: 40 ft: 148 corp: 25/164b lim: 11 exec/s: 2 rss: 329Mb L: 10/11 MS: 4 PersAutoDict-CMP-ChangeByte-CMP- DE: "\377\377"-"\377\377\377\377"-"\377\377\377\377"-
#1529	NEW    cov: 43 ft: 151 corp: 26/175b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 4 CrossOver-PersAutoDict-ChangeByte-InsertRepeatedBytes- DE: "\377\377"-
#1547	NEW    cov: 48 ft: 156 corp: 27/186b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 3 ChangeBit-CrossOver-ChangeByte-
#1623	NEW    cov: 48 ft: 163 corp: 28/196b lim: 11 exec/s: 2 rss: 329Mb L: 10/11 MS: 1 CrossOver-
#1626	NEW    cov: 48 ft: 166 corp: 29/207b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 3 CrossOver-EraseBytes-CrossOver-
#1632	NEW    cov: 48 ft: 167 corp: 30/218b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 1 ChangeByte-
#1649	NEW    cov: 48 ft: 170 corp: 31/227b lim: 11 exec/s: 2 rss: 329Mb L: 9/11 MS: 2 InsertByte-CrossOver-
#1705	NEW    cov: 49 ft: 171 corp: 32/236b lim: 11 exec/s: 2 rss: 329Mb L: 9/11 MS: 1 PersAutoDict- DE: "\377\377"-
#1751	NEW    cov: 52 ft: 174 corp: 33/246b lim: 11 exec/s: 2 rss: 329Mb L: 10/11 MS: 1 PersAutoDict- DE: "\377\377"-
#1859	REDUCE cov: 52 ft: 177 corp: 34/256b lim: 11 exec/s: 2 rss: 329Mb L: 10/11 MS: 3 ChangeBit-PersAutoDict-CMP- DE: "\377\377"-"\377\377"-
#1901	NEW    cov: 52 ft: 178 corp: 35/267b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 2 ShuffleBytes-PersAutoDict- DE: "\377\377"-
#1916	NEW    cov: 52 ft: 179 corp: 36/278b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 5 CrossOver-CrossOver-PersAutoDict-CrossOver-CrossOver- DE: "\377\377\377\377"-
#2007	NEW    cov: 52 ft: 180 corp: 37/289b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 1 CrossOver-
#2048	pulse  cov: 52 ft: 180 corp: 37/289b lim: 11 exec/s: 2 rss: 329Mb
#2173	REDUCE cov: 52 ft: 180 corp: 37/288b lim: 11 exec/s: 2 rss: 329Mb L: 7/11 MS: 1 EraseBytes-
#2194	NEW    cov: 59 ft: 187 corp: 38/299b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 1 ChangeByte-
#2275	NEW    cov: 64 ft: 192 corp: 39/310b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 1 InsertByte-
#2312	NEW    cov: 64 ft: 195 corp: 40/321b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 2 CopyPart-ChangeByte-
#2501	REDUCE cov: 64 ft: 195 corp: 40/320b lim: 11 exec/s: 2 rss: 329Mb L: 7/11 MS: 4 CrossOver-EraseBytes-ChangeByte-CrossOver-
#2585	NEW    cov: 65 ft: 196 corp: 41/330b lim: 11 exec/s: 2 rss: 329Mb L: 10/11 MS: 4 InsertByte-ChangeBinInt-ChangeBit-ChangeByte-
#2631	NEW    cov: 65 ft: 199 corp: 42/340b lim: 11 exec/s: 2 rss: 329Mb L: 10/11 MS: 1 ChangeByte-
#2637	NEW    cov: 66 ft: 200 corp: 43/351b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 1 ChangeBit-
#2798	NEW    cov: 66 ft: 203 corp: 44/362b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 1 PersAutoDict- DE: "\377\377"-
#2814	NEW    cov: 66 ft: 204 corp: 45/373b lim: 11 exec/s: 2 rss: 329Mb L: 11/11 MS: 1 CrossOver-
#2920	NEW    cov: 66 ft: 205 corp: 46/384b lim: 11 exec/s: 2 rss: 359Mb L: 11/11 MS: 1 ChangeBit-
#3042	NEW    cov: 66 ft: 210 corp: 47/394b lim: 11 exec/s: 2 rss: 359Mb L: 10/11 MS: 2 ChangeBit-ShuffleBytes-
#3053	NEW    cov: 66 ft: 213 corp: 48/405b lim: 11 exec/s: 2 rss: 359Mb L: 11/11 MS: 1 ChangeBit-
#3435	NEW    cov: 66 ft: 218 corp: 49/419b lim: 14 exec/s: 2 rss: 359Mb L: 14/14 MS: 2 InsertByte-CMP- DE: "\377\377"-
#3476	NEW    cov: 66 ft: 219 corp: 50/433b lim: 14 exec/s: 2 rss: 359Mb L: 14/14 MS: 1 CrossOver-
#3483	NEW    cov: 66 ft: 222 corp: 51/445b lim: 14 exec/s: 2 rss: 359Mb L: 12/14 MS: 2 ChangeBinInt-InsertByte-
#3579	REDUCE cov: 66 ft: 222 corp: 51/443b lim: 14 exec/s: 2 rss: 359Mb L: 9/14 MS: 1 EraseBytes-
#3600	NEW    cov: 66 ft: 229 corp: 52/455b lim: 14 exec/s: 2 rss: 359Mb L: 12/14 MS: 1 ChangeBit-
#3640	NEW    cov: 69 ft: 232 corp: 53/469b lim: 14 exec/s: 2 rss: 359Mb L: 14/14 MS: 5 InsertRepeatedBytes-CopyPart-ChangeBinInt-ChangeByte-CopyPart-
#3684	NEW    cov: 69 ft: 235 corp: 54/481b lim: 14 exec/s: 2 rss: 359Mb L: 12/14 MS: 4 CopyPart-CrossOver-PersAutoDict-PersAutoDict- DE: "\377\377"-"\377\377\377\377"-
#3765	NEW    cov: 69 ft: 236 corp: 55/493b lim: 14 exec/s: 2 rss: 359Mb L: 12/14 MS: 1 CopyPart-
#3768	REDUCE cov: 72 ft: 239 corp: 56/507b lim: 14 exec/s: 2 rss: 359Mb L: 14/14 MS: 3 CopyPart-ChangeBit-ChangeBinInt-
#3773	NEW    cov: 73 ft: 240 corp: 57/521b lim: 14 exec/s: 2 rss: 359Mb L: 14/14 MS: 5 CopyPart-EraseBytes-InsertRepeatedBytes-CopyPart-PersAutoDict- DE: "\377\377\377\377"-
#3859	NEW    cov: 73 ft: 241 corp: 58/533b lim: 14 exec/s: 2 rss: 359Mb L: 12/14 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#3956	REDUCE cov: 73 ft: 246 corp: 59/544b lim: 14 exec/s: 2 rss: 359Mb L: 11/14 MS: 2 ShuffleBytes-CrossOver-
#4047	REDUCE cov: 73 ft: 246 corp: 59/543b lim: 14 exec/s: 2 rss: 359Mb L: 7/14 MS: 1 EraseBytes-
#4096	pulse  cov: 73 ft: 246 corp: 59/543b lim: 14 exec/s: 2 rss: 362Mb
#4103	NEW    cov: 73 ft: 247 corp: 60/554b lim: 14 exec/s: 2 rss: 362Mb L: 11/14 MS: 1 EraseBytes-
#4187	NEW    cov: 73 ft: 250 corp: 61/568b lim: 14 exec/s: 2 rss: 362Mb L: 14/14 MS: 4 ChangeBit-ShuffleBytes-CrossOver-PersAutoDict- DE: "\377\377\377\377"-
#4296	NEW    cov: 74 ft: 251 corp: 62/582b lim: 14 exec/s: 2 rss: 362Mb L: 14/14 MS: 4 ShuffleBytes-ShuffleBytes-CrossOver-CrossOver-
#4338	NEW    cov: 74 ft: 254 corp: 63/594b lim: 14 exec/s: 2 rss: 366Mb L: 12/14 MS: 2 CopyPart-InsertByte-
#4339	NEW    cov: 74 ft: 255 corp: 64/606b lim: 14 exec/s: 2 rss: 366Mb L: 12/14 MS: 1 CopyPart-
#4397	NEW    cov: 74 ft: 262 corp: 65/618b lim: 14 exec/s: 2 rss: 366Mb L: 12/14 MS: 3 ChangeBinInt-ChangeBinInt-InsertRepeatedBytes-
#4399	REDUCE cov: 74 ft: 262 corp: 65/617b lim: 14 exec/s: 2 rss: 366Mb L: 7/14 MS: 2 ShuffleBytes-EraseBytes-
#4402	NEW    cov: 75 ft: 263 corp: 66/631b lim: 14 exec/s: 2 rss: 366Mb L: 14/14 MS: 3 CopyPart-CopyPart-PersAutoDict- DE: "\377\377\377\377"-
#4478	NEW    cov: 75 ft: 264 corp: 67/643b lim: 14 exec/s: 2 rss: 366Mb L: 12/14 MS: 1 CopyPart-
#4529	NEW    cov: 75 ft: 271 corp: 68/655b lim: 14 exec/s: 2 rss: 366Mb L: 12/14 MS: 1 EraseBytes-
#4595	NEW    cov: 78 ft: 274 corp: 69/668b lim: 14 exec/s: 2 rss: 366Mb L: 13/14 MS: 1 PersAutoDict- DE: "\377\377"-
#4794	NEW    cov: 78 ft: 275 corp: 70/682b lim: 14 exec/s: 2 rss: 366Mb L: 14/14 MS: 4 PersAutoDict-ChangeByte-ChangeByte-CopyPart- DE: "\377\377"-
#5020	NEW    cov: 79 ft: 276 corp: 71/696b lim: 14 exec/s: 2 rss: 366Mb L: 14/14 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#5126	NEW    cov: 79 ft: 279 corp: 72/710b lim: 14 exec/s: 2 rss: 366Mb L: 14/14 MS: 1 InsertByte-
#5130	NEW    cov: 79 ft: 282 corp: 73/724b lim: 14 exec/s: 2 rss: 366Mb L: 14/14 MS: 4 CopyPart-CMP-ChangeBinInt-ChangeBit- DE: "\377\377\377\377\377\377\377\377"-
#5150	NEW    cov: 79 ft: 283 corp: 74/738b lim: 14 exec/s: 2 rss: 366Mb L: 14/14 MS: 5 ChangeBit-CMP-ChangeBinInt-ChangeBit-ShuffleBytes- DE: "\001\000"-
