INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 2050089571
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x138050000, 0x138050200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x11d000000,0x11d002000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	INITED exec/s: 2 rss: 261Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 289Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 289Mb
#16	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 289Mb
#24	NEW    cov: 11 ft: 11 corp: 2/3b lim: 4 exec/s: 3 rss: 289Mb L: 2/2 MS: 2 CrossOver-ChangeBinInt-
#32	pulse  cov: 11 ft: 11 corp: 2/3b lim: 4 exec/s: 2 rss: 289Mb
#64	pulse  cov: 11 ft: 11 corp: 2/3b lim: 4 exec/s: 2 rss: 289Mb
#72	NEW    cov: 11 ft: 22 corp: 3/7b lim: 4 exec/s: 2 rss: 289Mb L: 4/4 MS: 3 CrossOver-ChangeBit-CopyPart-
#128	pulse  cov: 11 ft: 22 corp: 3/7b lim: 4 exec/s: 2 rss: 312Mb
#138	REDUCE cov: 11 ft: 22 corp: 3/6b lim: 4 exec/s: 2 rss: 313Mb L: 3/3 MS: 1 EraseBytes-
#148	NEW    cov: 11 ft: 33 corp: 4/9b lim: 4 exec/s: 2 rss: 314Mb L: 3/3 MS: 5 ShuffleBytes-CopyPart-InsertByte-EraseBytes-ChangeBit-
#158	REDUCE cov: 11 ft: 33 corp: 4/8b lim: 4 exec/s: 2 rss: 314Mb L: 1/3 MS: 5 EraseBytes-ShuffleBytes-InsertByte-EraseBytes-CrossOver-
#169	NEW    cov: 11 ft: 44 corp: 5/12b lim: 4 exec/s: 2 rss: 314Mb L: 4/4 MS: 1 InsertByte-
#226	REDUCE cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 2 rss: 332Mb L: 2/4 MS: 2 InsertByte-EraseBytes-
#256	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 2 rss: 332Mb
#452	REDUCE cov: 14 ft: 47 corp: 6/17b lim: 6 exec/s: 2 rss: 332Mb L: 6/6 MS: 1 CMP- DE: "\377\377\377\377"-
#463	NEW    cov: 15 ft: 48 corp: 7/22b lim: 6 exec/s: 2 rss: 332Mb L: 5/6 MS: 1 CrossOver-
#468	NEW    cov: 24 ft: 57 corp: 8/27b lim: 6 exec/s: 2 rss: 332Mb L: 5/6 MS: 5 ChangeByte-ShuffleBytes-CopyPart-EraseBytes-InsertByte-
#484	NEW    cov: 24 ft: 60 corp: 9/33b lim: 6 exec/s: 2 rss: 332Mb L: 6/6 MS: 1 ChangeBinInt-
#511	NEW    cov: 31 ft: 67 corp: 10/39b lim: 6 exec/s: 2 rss: 332Mb L: 6/6 MS: 2 ChangeBit-CopyPart-
#512	pulse  cov: 31 ft: 67 corp: 10/39b lim: 6 exec/s: 2 rss: 332Mb
#558	NEW    cov: 31 ft: 74 corp: 11/44b lim: 6 exec/s: 2 rss: 332Mb L: 5/6 MS: 2 EraseBytes-InsertByte-
#643	NEW    cov: 31 ft: 83 corp: 12/50b lim: 6 exec/s: 2 rss: 332Mb L: 6/6 MS: 5 CopyPart-EraseBytes-InsertByte-InsertByte-ChangeBinInt-
#819	NEW    cov: 36 ft: 88 corp: 13/56b lim: 6 exec/s: 2 rss: 332Mb L: 6/6 MS: 1 ChangeByte-
#950	NEW    cov: 36 ft: 89 corp: 14/62b lim: 6 exec/s: 2 rss: 332Mb L: 6/6 MS: 1 CopyPart-
#1024	pulse  cov: 36 ft: 89 corp: 14/62b lim: 6 exec/s: 2 rss: 332Mb
#1077	NEW    cov: 36 ft: 94 corp: 15/68b lim: 6 exec/s: 2 rss: 332Mb L: 6/6 MS: 2 ShuffleBytes-ChangeBinInt-
#1296	NEW    cov: 36 ft: 97 corp: 16/76b lim: 8 exec/s: 2 rss: 332Mb L: 8/8 MS: 4 InsertByte-ShuffleBytes-CopyPart-CrossOver-
#1322	NEW    cov: 36 ft: 100 corp: 17/84b lim: 8 exec/s: 2 rss: 332Mb L: 8/8 MS: 1 CopyPart-
#1371	NEW    cov: 36 ft: 101 corp: 18/91b lim: 8 exec/s: 2 rss: 332Mb L: 7/8 MS: 4 ChangeBit-InsertByte-EraseBytes-CopyPart-
#1433	NEW    cov: 36 ft: 102 corp: 19/99b lim: 8 exec/s: 2 rss: 332Mb L: 8/8 MS: 2 ShuffleBytes-CopyPart-
#1454	NEW    cov: 36 ft: 109 corp: 20/107b lim: 8 exec/s: 2 rss: 332Mb L: 8/8 MS: 1 ChangeBit-
#1680	NEW    cov: 36 ft: 120 corp: 21/115b lim: 8 exec/s: 2 rss: 332Mb L: 8/8 MS: 1 CrossOver-
#1701	NEW    cov: 36 ft: 125 corp: 22/123b lim: 8 exec/s: 2 rss: 332Mb L: 8/8 MS: 1 ChangeBit-
#1738	NEW    cov: 36 ft: 134 corp: 23/131b lim: 8 exec/s: 2 rss: 332Mb L: 8/8 MS: 2 CrossOver-ChangeByte-
#1758	NEW    cov: 36 ft: 143 corp: 24/139b lim: 8 exec/s: 2 rss: 332Mb L: 8/8 MS: 5 InsertByte-ShuffleBytes-EraseBytes-InsertByte-InsertRepeatedBytes-
#1769	NEW    cov: 36 ft: 148 corp: 25/146b lim: 8 exec/s: 2 rss: 332Mb L: 7/8 MS: 1 ChangeBit-
#1853	REDUCE cov: 36 ft: 148 corp: 25/145b lim: 8 exec/s: 2 rss: 332Mb L: 7/8 MS: 4 CrossOver-ChangeByte-EraseBytes-ChangeBit-
#1933	NEW    cov: 36 ft: 155 corp: 26/153b lim: 8 exec/s: 2 rss: 332Mb L: 8/8 MS: 5 ChangeBinInt-ShuffleBytes-CopyPart-ChangeBit-ChangeBit-
#2048	pulse  cov: 36 ft: 155 corp: 26/153b lim: 8 exec/s: 2 rss: 332Mb
#2253	REDUCE cov: 37 ft: 156 corp: 27/163b lim: 11 exec/s: 2 rss: 332Mb L: 10/10 MS: 5 InsertByte-InsertByte-CrossOver-CrossOver-PersAutoDict- DE: "\377\377\377\377"-
#2284	REDUCE cov: 40 ft: 159 corp: 28/174b lim: 11 exec/s: 2 rss: 348Mb L: 11/11 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#2295	NEW    cov: 40 ft: 162 corp: 29/184b lim: 11 exec/s: 2 rss: 348Mb L: 10/11 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#2336	NEW    cov: 40 ft: 165 corp: 30/195b lim: 11 exec/s: 2 rss: 348Mb L: 11/11 MS: 1 InsertByte-
#2462	NEW    cov: 41 ft: 166 corp: 31/204b lim: 11 exec/s: 2 rss: 349Mb L: 9/11 MS: 1 CopyPart-
#2468	NEW    cov: 41 ft: 167 corp: 32/215b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#2479	NEW    cov: 41 ft: 168 corp: 33/226b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 ChangeBit-
#2493	NEW    cov: 42 ft: 169 corp: 34/237b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 4 ChangeBit-ShuffleBytes-CMP-CrossOver- DE: "\001\000"-
#2640	NEW    cov: 43 ft: 170 corp: 35/247b lim: 11 exec/s: 2 rss: 349Mb L: 10/11 MS: 2 CrossOver-InsertRepeatedBytes-
#2643	NEW    cov: 46 ft: 173 corp: 36/256b lim: 11 exec/s: 2 rss: 349Mb L: 9/11 MS: 3 CrossOver-ShuffleBytes-CrossOver-
#2657	NEW    cov: 46 ft: 174 corp: 37/267b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 4 ShuffleBytes-ShuffleBytes-CopyPart-CrossOver-
#2696	NEW    cov: 51 ft: 179 corp: 38/277b lim: 11 exec/s: 2 rss: 349Mb L: 10/11 MS: 4 CrossOver-EraseBytes-ChangeBinInt-CrossOver-
#2703	NEW    cov: 54 ft: 182 corp: 39/288b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 2 CopyPart-CrossOver-
#2739	NEW    cov: 54 ft: 187 corp: 40/297b lim: 11 exec/s: 2 rss: 349Mb L: 9/11 MS: 1 EraseBytes-
#2806	NEW    cov: 54 ft: 190 corp: 41/307b lim: 11 exec/s: 2 rss: 349Mb L: 10/11 MS: 2 InsertByte-InsertRepeatedBytes-
#2944	NEW    cov: 59 ft: 195 corp: 42/318b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 3 CrossOver-InsertByte-CopyPart-
#2975	NEW    cov: 59 ft: 196 corp: 43/329b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 ShuffleBytes-
#2994	REDUCE cov: 59 ft: 196 corp: 43/328b lim: 11 exec/s: 2 rss: 349Mb L: 9/11 MS: 4 ChangeByte-InsertByte-CopyPart-EraseBytes-
#3030	NEW    cov: 59 ft: 201 corp: 44/339b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 CrossOver-
#3197	NEW    cov: 59 ft: 204 corp: 45/350b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 2 PersAutoDict-ChangeByte- DE: "\377\377\377\377"-
#3233	REDUCE cov: 59 ft: 205 corp: 46/360b lim: 11 exec/s: 2 rss: 349Mb L: 10/11 MS: 1 InsertByte-
#3359	NEW    cov: 59 ft: 210 corp: 47/371b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 CopyPart-
#3515	NEW    cov: 66 ft: 217 corp: 48/382b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 InsertRepeatedBytes-
#3611	NEW    cov: 66 ft: 222 corp: 49/393b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 ChangeByte-
#3982	NEW    cov: 66 ft: 225 corp: 50/405b lim: 14 exec/s: 2 rss: 349Mb L: 12/12 MS: 1 InsertByte-
#4031	NEW    cov: 66 ft: 228 corp: 51/417b lim: 14 exec/s: 2 rss: 349Mb L: 12/12 MS: 4 EraseBytes-ShuffleBytes-InsertRepeatedBytes-InsertByte-
#4049	NEW    cov: 67 ft: 229 corp: 52/431b lim: 14 exec/s: 2 rss: 349Mb L: 14/14 MS: 3 InsertByte-CrossOver-CrossOver-
#4096	pulse  cov: 67 ft: 229 corp: 52/431b lim: 14 exec/s: 2 rss: 349Mb
#4100	NEW    cov: 67 ft: 234 corp: 53/443b lim: 14 exec/s: 2 rss: 349Mb L: 12/14 MS: 1 CMP- DE: "\001\000"-
#4106	NEW    cov: 67 ft: 235 corp: 54/454b lim: 14 exec/s: 2 rss: 349Mb L: 11/14 MS: 1 ChangeBit-
#4168	NEW    cov: 67 ft: 236 corp: 55/466b lim: 14 exec/s: 2 rss: 349Mb L: 12/14 MS: 2 InsertByte-ChangeBit-
#4211	REDUCE cov: 67 ft: 236 corp: 55/465b lim: 14 exec/s: 2 rss: 349Mb L: 10/14 MS: 3 PersAutoDict-ShuffleBytes-EraseBytes- DE: "\001\000"-
#4226	NEW    cov: 70 ft: 239 corp: 56/479b lim: 14 exec/s: 2 rss: 349Mb L: 14/14 MS: 5 CrossOver-EraseBytes-InsertByte-PersAutoDict-PersAutoDict- DE: "\001\000"-"\377\377\377\377"-
#4238	NEW    cov: 70 ft: 246 corp: 57/491b lim: 14 exec/s: 2 rss: 349Mb L: 12/14 MS: 2 ShuffleBytes-ShuffleBytes-
#4332	REDUCE cov: 70 ft: 249 corp: 58/505b lim: 14 exec/s: 2 rss: 349Mb L: 14/14 MS: 4 CopyPart-CopyPart-ChangeBinInt-PersAutoDict- DE: "\377\377\377\377"-
#4348	NEW    cov: 70 ft: 252 corp: 59/516b lim: 14 exec/s: 2 rss: 349Mb L: 11/14 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#4383	NEW    cov: 70 ft: 259 corp: 60/530b lim: 14 exec/s: 2 rss: 349Mb L: 14/14 MS: 5 ChangeBinInt-ChangeBit-PersAutoDict-ShuffleBytes-CrossOver- DE: "\377\377\377\377"-
#4427	NEW    cov: 70 ft: 266 corp: 61/544b lim: 14 exec/s: 2 rss: 349Mb L: 14/14 MS: 4 InsertRepeatedBytes-ChangeByte-InsertRepeatedBytes-CrossOver-
#4553	NEW    cov: 73 ft: 269 corp: 62/557b lim: 14 exec/s: 2 rss: 351Mb L: 13/14 MS: 1 CrossOver-
#4559	NEW    cov: 73 ft: 270 corp: 63/570b lim: 14 exec/s: 2 rss: 354Mb L: 13/14 MS: 1 CrossOver-
#4701	NEW    cov: 73 ft: 273 corp: 64/582b lim: 14 exec/s: 2 rss: 354Mb L: 12/14 MS: 2 InsertByte-ChangeBinInt-
#4742	REDUCE cov: 73 ft: 273 corp: 64/580b lim: 14 exec/s: 2 rss: 354Mb L: 9/14 MS: 1 EraseBytes-
#4781	NEW    cov: 74 ft: 274 corp: 65/593b lim: 14 exec/s: 2 rss: 354Mb L: 13/14 MS: 4 EraseBytes-ChangeBit-EraseBytes-InsertRepeatedBytes-
#4837	NEW    cov: 75 ft: 275 corp: 66/606b lim: 14 exec/s: 2 rss: 354Mb L: 13/14 MS: 1 CrossOver-
#4888	NEW    cov: 75 ft: 278 corp: 67/620b lim: 14 exec/s: 2 rss: 354Mb L: 14/14 MS: 1 InsertByte-
#4890	NEW    cov: 75 ft: 281 corp: 68/633b lim: 14 exec/s: 2 rss: 354Mb L: 13/14 MS: 2 ChangeBinInt-InsertByte-
#4932	NEW    cov: 75 ft: 286 corp: 69/645b lim: 14 exec/s: 2 rss: 354Mb L: 12/14 MS: 2 CopyPart-CopyPart-
#4963	NEW    cov: 75 ft: 287 corp: 70/657b lim: 14 exec/s: 2 rss: 354Mb L: 12/14 MS: 1 ShuffleBytes-
#5055	NEW    cov: 78 ft: 290 corp: 71/670b lim: 14 exec/s: 2 rss: 354Mb L: 13/14 MS: 2 PersAutoDict-PersAutoDict- DE: "\001\000"-"\001\000"-
#5301	NEW    cov: 78 ft: 291 corp: 72/684b lim: 14 exec/s: 2 rss: 354Mb L: 14/14 MS: 1 CrossOver-
#5477	NEW    cov: 78 ft: 292 corp: 73/697b lim: 14 exec/s: 2 rss: 354Mb L: 13/14 MS: 1 CrossOver-
#5508	NEW    cov: 78 ft: 293 corp: 74/711b lim: 14 exec/s: 2 rss: 354Mb L: 14/14 MS: 1 CMP- DE: "\377\377"-
#5525	NEW    cov: 78 ft: 296 corp: 75/725b lim: 14 exec/s: 2 rss: 354Mb L: 14/14 MS: 2 CopyPart-ChangeByte-
#5566	REDUCE cov: 78 ft: 296 corp: 75/723b lim: 14 exec/s: 2 rss: 354Mb L: 10/14 MS: 1 EraseBytes-
#5739	NEW    cov: 78 ft: 303 corp: 76/737b lim: 14 exec/s: 2 rss: 354Mb L: 14/14 MS: 3 CopyPart-CrossOver-ShuffleBytes-
#5810	NEW    cov: 83 ft: 308 corp: 77/750b lim: 14 exec/s: 2 rss: 354Mb L: 13/14 MS: 1 ChangeByte-
