INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 2054030561
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x170008000, 0x170008200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x11b900000,0x11b902000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	INITED exec/s: 2 rss: 238Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 238Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 238Mb
#16	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 254Mb
#32	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 276Mb
#63	NEW    cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 2 rss: 276Mb L: 1/1 MS: 1 ChangeByte-
#64	pulse  cov: 11 ft: 22 corp: 2/2b lim: 4 exec/s: 2 rss: 276Mb
#64	NEW    cov: 11 ft: 22 corp: 3/4b lim: 4 exec/s: 2 rss: 276Mb L: 2/2 MS: 1 CopyPart-
#66	NEW    cov: 11 ft: 33 corp: 4/7b lim: 4 exec/s: 2 rss: 276Mb L: 3/3 MS: 2 CrossOver-CrossOver-
#96	NEW    cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 2 rss: 276Mb L: 4/4 MS: 5 EraseBytes-CopyPart-InsertByte-CopyPart-CopyPart-
#128	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 2 rss: 277Mb
#256	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 2 rss: 319Mb
#426	NEW    cov: 20 ft: 53 corp: 6/17b lim: 6 exec/s: 2 rss: 319Mb L: 6/6 MS: 5 EraseBytes-CrossOver-InsertByte-CrossOver-InsertByte-
#430	NEW    cov: 23 ft: 56 corp: 7/22b lim: 6 exec/s: 2 rss: 319Mb L: 5/6 MS: 4 ChangeByte-ChangeBinInt-CopyPart-CMP- DE: "\000\000"-
#484	NEW    cov: 24 ft: 57 corp: 8/28b lim: 6 exec/s: 2 rss: 319Mb L: 6/6 MS: 4 InsertRepeatedBytes-CopyPart-CopyPart-ChangeBinInt-
#486	NEW    cov: 31 ft: 64 corp: 9/34b lim: 6 exec/s: 2 rss: 319Mb L: 6/6 MS: 2 ChangeBit-ChangeBinInt-
#512	pulse  cov: 31 ft: 64 corp: 9/34b lim: 6 exec/s: 2 rss: 319Mb
#528	NEW    cov: 36 ft: 69 corp: 10/40b lim: 6 exec/s: 2 rss: 319Mb L: 6/6 MS: 2 ChangeByte-ChangeBit-
#560	NEW    cov: 36 ft: 74 corp: 11/46b lim: 6 exec/s: 2 rss: 319Mb L: 6/6 MS: 2 InsertByte-CopyPart-
#686	NEW    cov: 36 ft: 75 corp: 12/52b lim: 6 exec/s: 2 rss: 319Mb L: 6/6 MS: 1 ChangeBit-
#732	REDUCE cov: 36 ft: 75 corp: 12/51b lim: 6 exec/s: 2 rss: 319Mb L: 5/6 MS: 1 CrossOver-
#918	NEW    cov: 36 ft: 82 corp: 13/57b lim: 6 exec/s: 2 rss: 319Mb L: 6/6 MS: 1 ChangeBit-
#1024	pulse  cov: 36 ft: 82 corp: 13/57b lim: 6 exec/s: 2 rss: 319Mb
#1140	NEW    cov: 36 ft: 85 corp: 14/64b lim: 8 exec/s: 2 rss: 319Mb L: 7/7 MS: 2 InsertRepeatedBytes-CrossOver-
#1147	NEW    cov: 36 ft: 90 corp: 15/71b lim: 8 exec/s: 2 rss: 319Mb L: 7/7 MS: 2 EraseBytes-CrossOver-
#1280	NEW    cov: 36 ft: 95 corp: 16/79b lim: 8 exec/s: 2 rss: 319Mb L: 8/8 MS: 3 CopyPart-EraseBytes-CrossOver-
#1302	NEW    cov: 36 ft: 104 corp: 17/85b lim: 8 exec/s: 2 rss: 341Mb L: 6/8 MS: 2 ChangeBit-ChangeBinInt-
#1473	REDUCE cov: 36 ft: 113 corp: 18/93b lim: 8 exec/s: 2 rss: 341Mb L: 8/8 MS: 1 CopyPart-
#1479	NEW    cov: 36 ft: 116 corp: 19/101b lim: 8 exec/s: 2 rss: 341Mb L: 8/8 MS: 1 CopyPart-
#1482	NEW    cov: 36 ft: 117 corp: 20/109b lim: 8 exec/s: 2 rss: 341Mb L: 8/8 MS: 3 ChangeBinInt-ShuffleBytes-CrossOver-
#1590	REDUCE cov: 36 ft: 117 corp: 20/108b lim: 8 exec/s: 2 rss: 341Mb L: 5/8 MS: 3 ChangeByte-InsertByte-EraseBytes-
#1671	NEW    cov: 36 ft: 126 corp: 21/116b lim: 8 exec/s: 2 rss: 341Mb L: 8/8 MS: 1 CopyPart-
#1885	NEW    cov: 36 ft: 127 corp: 22/124b lim: 8 exec/s: 2 rss: 341Mb L: 8/8 MS: 4 ChangeByte-ChangeBinInt-CrossOver-ChangeByte-
#2048	pulse  cov: 36 ft: 127 corp: 22/124b lim: 8 exec/s: 2 rss: 341Mb
#2086	REDUCE cov: 36 ft: 127 corp: 22/123b lim: 8 exec/s: 2 rss: 341Mb L: 7/8 MS: 1 EraseBytes-
