INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 2057550685
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x1400b0000, 0x1400b0200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x108014000,0x108016000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	pulse  exec/s: 1 rss: 233Mb
#2	INITED exec/s: 1 rss: 233Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 233Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 233Mb
#14	NEW    cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 2 rss: 265Mb L: 1/1 MS: 2 ShuffleBytes-ChangeBit-
#16	pulse  cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 2 rss: 271Mb
#19	NEW    cov: 11 ft: 22 corp: 3/4b lim: 4 exec/s: 2 rss: 284Mb L: 2/2 MS: 5 ChangeBit-ChangeBit-ChangeBit-CopyPart-CrossOver-
#32	pulse  cov: 11 ft: 22 corp: 3/4b lim: 4 exec/s: 2 rss: 284Mb
#53	NEW    cov: 11 ft: 33 corp: 4/7b lim: 4 exec/s: 2 rss: 284Mb L: 3/3 MS: 4 CopyPart-ChangeByte-InsertByte-CopyPart-
#59	NEW    cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 2 rss: 284Mb L: 4/4 MS: 1 CrossOver-
#64	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 2 rss: 284Mb
#128	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 2 rss: 310Mb
#256	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 2 rss: 312Mb
#512	pulse  cov: 11 ft: 44 corp: 5/11b lim: 8 exec/s: 2 rss: 312Mb
#526	NEW    cov: 11 ft: 55 corp: 6/19b lim: 8 exec/s: 2 rss: 312Mb L: 8/8 MS: 2 CopyPart-CopyPart-
#734	NEW    cov: 14 ft: 58 corp: 7/25b lim: 8 exec/s: 2 rss: 312Mb L: 6/8 MS: 3 CopyPart-InsertByte-InsertRepeatedBytes-
#750	NEW    cov: 14 ft: 61 corp: 8/33b lim: 8 exec/s: 2 rss: 312Mb L: 8/8 MS: 1 InsertRepeatedBytes-
#764	NEW    cov: 15 ft: 62 corp: 9/38b lim: 8 exec/s: 2 rss: 312Mb L: 5/8 MS: 4 CopyPart-EraseBytes-InsertByte-ChangeBinInt-
#822	NEW    cov: 15 ft: 65 corp: 10/46b lim: 8 exec/s: 2 rss: 312Mb L: 8/8 MS: 3 CopyPart-CopyPart-CrossOver-
#876	NEW    cov: 24 ft: 74 corp: 11/51b lim: 8 exec/s: 2 rss: 312Mb L: 5/8 MS: 4 ShuffleBytes-ChangeByte-InsertByte-EraseBytes-
#935	NEW    cov: 31 ft: 81 corp: 12/56b lim: 8 exec/s: 2 rss: 312Mb L: 5/8 MS: 4 CopyPart-CrossOver-ChangeBinInt-InsertRepeatedBytes-
#954	NEW    cov: 31 ft: 82 corp: 13/63b lim: 8 exec/s: 2 rss: 312Mb L: 7/8 MS: 4 CopyPart-ShuffleBytes-ShuffleBytes-CrossOver-
#1024	pulse  cov: 31 ft: 82 corp: 13/63b lim: 8 exec/s: 2 rss: 312Mb
#1061	NEW    cov: 31 ft: 91 corp: 14/69b lim: 8 exec/s: 2 rss: 312Mb L: 6/8 MS: 2 InsertByte-CrossOver-
#1063	NEW    cov: 31 ft: 92 corp: 15/77b lim: 8 exec/s: 2 rss: 312Mb L: 8/8 MS: 2 ChangeBit-CrossOver-
#1075	NEW    cov: 31 ft: 99 corp: 16/83b lim: 8 exec/s: 2 rss: 312Mb L: 6/8 MS: 2 ChangeBinInt-ChangeBit-
#1091	NEW    cov: 31 ft: 108 corp: 17/90b lim: 8 exec/s: 2 rss: 312Mb L: 7/8 MS: 1 InsertByte-
#1128	NEW    cov: 36 ft: 113 corp: 18/98b lim: 8 exec/s: 2 rss: 312Mb L: 8/8 MS: 2 ChangeByte-ChangeBit-
#1158	NEW    cov: 36 ft: 118 corp: 19/106b lim: 8 exec/s: 2 rss: 312Mb L: 8/8 MS: 5 ChangeBit-CrossOver-ChangeByte-CopyPart-ShuffleBytes-
#1161	NEW    cov: 36 ft: 121 corp: 20/113b lim: 8 exec/s: 2 rss: 312Mb L: 7/8 MS: 3 ChangeBit-ChangeBit-EraseBytes-
#1172	NEW    cov: 36 ft: 128 corp: 21/120b lim: 8 exec/s: 2 rss: 312Mb L: 7/8 MS: 1 ChangeByte-
#1339	REDUCE cov: 36 ft: 128 corp: 21/119b lim: 8 exec/s: 2 rss: 312Mb L: 7/8 MS: 2 ChangeByte-EraseBytes-
#1445	REDUCE cov: 36 ft: 128 corp: 21/118b lim: 8 exec/s: 2 rss: 312Mb L: 7/8 MS: 1 EraseBytes-
#1446	NEW    cov: 36 ft: 129 corp: 22/126b lim: 8 exec/s: 2 rss: 312Mb L: 8/8 MS: 1 CopyPart-
#1447	NEW    cov: 36 ft: 138 corp: 23/134b lim: 8 exec/s: 2 rss: 312Mb L: 8/8 MS: 1 ChangeBit-
#1726	NEW    cov: 36 ft: 143 corp: 24/142b lim: 8 exec/s: 2 rss: 349Mb L: 8/8 MS: 4 ChangeByte-ChangeBinInt-CrossOver-CopyPart-
#1743	NEW    cov: 36 ft: 148 corp: 25/149b lim: 8 exec/s: 2 rss: 349Mb L: 7/8 MS: 2 ChangeByte-EraseBytes-
#1814	REDUCE cov: 36 ft: 148 corp: 25/147b lim: 8 exec/s: 2 rss: 349Mb L: 6/8 MS: 1 EraseBytes-
#2048	pulse  cov: 36 ft: 148 corp: 25/147b lim: 8 exec/s: 2 rss: 349Mb
#2100	REDUCE cov: 36 ft: 148 corp: 25/146b lim: 8 exec/s: 2 rss: 349Mb L: 6/8 MS: 1 EraseBytes-
#2173	NEW    cov: 36 ft: 155 corp: 26/154b lim: 8 exec/s: 2 rss: 349Mb L: 8/8 MS: 3 CopyPart-ShuffleBytes-CopyPart-
#2502	NEW    cov: 39 ft: 158 corp: 27/165b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 4 ShuffleBytes-CopyPart-CopyPart-ChangeByte-
#2584	NEW    cov: 40 ft: 159 corp: 28/176b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 2 ShuffleBytes-InsertRepeatedBytes-
#2661	NEW    cov: 41 ft: 160 corp: 29/185b lim: 11 exec/s: 2 rss: 349Mb L: 9/11 MS: 2 CopyPart-CopyPart-
#2712	NEW    cov: 44 ft: 163 corp: 30/196b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 InsertRepeatedBytes-
#2732	NEW    cov: 44 ft: 164 corp: 31/206b lim: 11 exec/s: 2 rss: 349Mb L: 10/11 MS: 5 ShuffleBytes-ChangeBit-EraseBytes-ChangeBit-InsertRepeatedBytes-
#2903	NEW    cov: 49 ft: 169 corp: 32/216b lim: 11 exec/s: 2 rss: 349Mb L: 10/11 MS: 1 InsertRepeatedBytes-
#2904	NEW    cov: 50 ft: 170 corp: 33/226b lim: 11 exec/s: 2 rss: 349Mb L: 10/11 MS: 1 CopyPart-
#2970	NEW    cov: 50 ft: 171 corp: 34/237b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 ChangeByte-
#3045	REDUCE cov: 53 ft: 174 corp: 35/248b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 5 ChangeByte-CopyPart-ChangeBit-InsertRepeatedBytes-CrossOver-
#3076	NEW    cov: 53 ft: 175 corp: 36/259b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 CrossOver-
#3206	NEW    cov: 53 ft: 176 corp: 37/268b lim: 11 exec/s: 2 rss: 349Mb L: 9/11 MS: 5 InsertRepeatedBytes-EraseBytes-ChangeByte-ChangeBit-ChangeBit-
#3228	NEW    cov: 53 ft: 181 corp: 38/279b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 2 ChangeByte-CopyPart-
#3356	NEW    cov: 53 ft: 184 corp: 39/290b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 3 ChangeByte-ChangeBit-ChangeBit-
#3467	NEW    cov: 58 ft: 189 corp: 40/301b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 ChangeByte-
#3507	NEW    cov: 58 ft: 192 corp: 41/312b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 5 CopyPart-CopyPart-CrossOver-ChangeBit-ChangeBinInt-
#3573	NEW    cov: 58 ft: 195 corp: 42/323b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 ChangeBinInt-
#3612	NEW    cov: 59 ft: 196 corp: 43/332b lim: 11 exec/s: 2 rss: 349Mb L: 9/11 MS: 4 ChangeBinInt-ChangeBinInt-ShuffleBytes-InsertByte-
#3664	NEW    cov: 66 ft: 203 corp: 44/341b lim: 11 exec/s: 2 rss: 349Mb L: 9/11 MS: 2 InsertByte-CopyPart-
#3775	NEW    cov: 66 ft: 210 corp: 45/352b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 ChangeBit-
#3796	REDUCE cov: 66 ft: 210 corp: 45/351b lim: 11 exec/s: 2 rss: 349Mb L: 10/11 MS: 1 EraseBytes-
#3803	NEW    cov: 66 ft: 211 corp: 46/362b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 2 ChangeByte-ChangeBit-
#3830	NEW    cov: 66 ft: 212 corp: 47/373b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 2 CopyPart-CrossOver-
#3916	NEW    cov: 66 ft: 215 corp: 48/384b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 CopyPart-
#3939	NEW    cov: 66 ft: 220 corp: 49/395b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 3 CMP-ChangeBit-ChangeByte- DE: "\377\377"-
#4060	NEW    cov: 66 ft: 223 corp: 50/405b lim: 11 exec/s: 2 rss: 349Mb L: 10/11 MS: 1 ChangeBit-
#4096	pulse  cov: 66 ft: 223 corp: 50/405b lim: 11 exec/s: 2 rss: 349Mb
#4136	NEW    cov: 66 ft: 228 corp: 51/416b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 CopyPart-
#4144	NEW    cov: 66 ft: 235 corp: 52/427b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 3 ChangeBinInt-ShuffleBytes-ChangeBinInt-
#4175	NEW    cov: 66 ft: 240 corp: 53/438b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 PersAutoDict- DE: "\377\377"-
#4401	NEW    cov: 66 ft: 241 corp: 54/449b lim: 11 exec/s: 2 rss: 349Mb L: 11/11 MS: 1 ChangeByte-
#4836	NEW    cov: 67 ft: 242 corp: 55/462b lim: 14 exec/s: 2 rss: 356Mb L: 13/13 MS: 5 EraseBytes-ChangeBit-ChangeBinInt-CopyPart-PersAutoDict- DE: "\377\377"-
#4997	REDUCE cov: 67 ft: 242 corp: 55/461b lim: 14 exec/s: 2 rss: 356Mb L: 10/13 MS: 1 EraseBytes-
#5075	NEW    cov: 68 ft: 243 corp: 56/475b lim: 14 exec/s: 2 rss: 356Mb L: 14/14 MS: 3 CrossOver-PersAutoDict-CopyPart- DE: "\377\377"-
#5181	NEW    cov: 69 ft: 244 corp: 57/489b lim: 14 exec/s: 2 rss: 356Mb L: 14/14 MS: 1 CrossOver-
#5509	NEW    cov: 69 ft: 245 corp: 58/504b lim: 17 exec/s: 2 rss: 356Mb L: 15/15 MS: 3 ChangeBit-InsertByte-ChangeBinInt-
#5617	NEW    cov: 69 ft: 246 corp: 59/516b lim: 17 exec/s: 2 rss: 356Mb L: 12/15 MS: 3 CopyPart-ChangeBit-CopyPart-
#5678	NEW    cov: 69 ft: 247 corp: 60/533b lim: 17 exec/s: 2 rss: 356Mb L: 17/17 MS: 1 InsertRepeatedBytes-
#5680	NEW    cov: 69 ft: 248 corp: 61/548b lim: 17 exec/s: 2 rss: 356Mb L: 15/17 MS: 2 ShuffleBytes-CrossOver-
#5710	NEW    cov: 69 ft: 253 corp: 62/561b lim: 17 exec/s: 2 rss: 356Mb L: 13/17 MS: 5 ShuffleBytes-InsertByte-ChangeByte-ShuffleBytes-InsertByte-
#5714	NEW    cov: 69 ft: 262 corp: 63/578b lim: 17 exec/s: 2 rss: 356Mb L: 17/17 MS: 4 ChangeByte-CopyPart-InsertByte-CrossOver-
