INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 8
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x7f58a8c53010, 0x7f58a8c53210), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x7f5892fff010,0x7f5893001010), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	pulse  exec/s: 0 rss: 273Mb
#2	INITED exec/s: 0 rss: 273Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 281Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 333Mb
#13	NEW    cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 1 rss: 333Mb L: 1/1 MS: 1 ChangeByte-
#16	pulse  cov: 11 ft: 22 corp: 2/2b lim: 4 exec/s: 1 rss: 334Mb
#16	NEW    cov: 11 ft: 22 corp: 3/5b lim: 4 exec/s: 1 rss: 334Mb L: 3/3 MS: 3 ChangeBinInt-ChangeBit-CMP- DE: "\000\000"-
#30	NEW    cov: 11 ft: 33 corp: 4/8b lim: 4 exec/s: 1 rss: 336Mb L: 3/3 MS: 4 CrossOver-ChangeBit-ChangeBit-CrossOver-
#32	pulse  cov: 11 ft: 33 corp: 4/8b lim: 4 exec/s: 1 rss: 338Mb
#43	NEW    cov: 11 ft: 44 corp: 5/12b lim: 4 exec/s: 1 rss: 403Mb L: 4/4 MS: 3 EraseBytes-CopyPart-CopyPart-
#64	pulse  cov: 11 ft: 44 corp: 5/12b lim: 4 exec/s: 1 rss: 404Mb
#88	REDUCE cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 1 rss: 407Mb L: 2/4 MS: 5 ChangeBinInt-ChangeBit-CrossOver-InsertByte-ChangeByte-
#128	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 1 rss: 407Mb
#256	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 1 rss: 417Mb
#320	NEW    cov: 16 ft: 49 corp: 6/16b lim: 6 exec/s: 1 rss: 430Mb L: 5/5 MS: 2 ShuffleBytes-InsertRepeatedBytes-
#325	NEW    cov: 19 ft: 52 corp: 7/21b lim: 6 exec/s: 1 rss: 430Mb L: 5/5 MS: 5 EraseBytes-PersAutoDict-InsertByte-ChangeBinInt-CrossOver- DE: "\000\000"-
#351	NEW    cov: 19 ft: 57 corp: 8/27b lim: 6 exec/s: 1 rss: 430Mb L: 6/6 MS: 1 InsertByte-
#393	NEW    cov: 19 ft: 60 corp: 9/33b lim: 6 exec/s: 1 rss: 431Mb L: 6/6 MS: 2 ChangeByte-CrossOver-
#449	NEW    cov: 20 ft: 61 corp: 10/39b lim: 6 exec/s: 1 rss: 432Mb L: 6/6 MS: 1 ChangeByte-
#490	NEW    cov: 20 ft: 62 corp: 11/45b lim: 6 exec/s: 1 rss: 432Mb L: 6/6 MS: 1 ChangeByte-
#512	pulse  cov: 20 ft: 62 corp: 11/45b lim: 6 exec/s: 1 rss: 432Mb
#541	NEW    cov: 27 ft: 69 corp: 12/51b lim: 6 exec/s: 1 rss: 433Mb L: 6/6 MS: 1 ChangeBit-
#545	NEW    cov: 36 ft: 78 corp: 13/56b lim: 6 exec/s: 1 rss: 433Mb L: 5/6 MS: 4 CopyPart-ChangeBinInt-CrossOver-ChangeBit-
#696	NEW    cov: 36 ft: 85 corp: 14/62b lim: 6 exec/s: 1 rss: 433Mb L: 6/6 MS: 1 ChangeBit-
#760	REDUCE cov: 36 ft: 85 corp: 14/61b lim: 6 exec/s: 1 rss: 433Mb L: 5/6 MS: 4 ShuffleBytes-ChangeBit-ChangeByte-EraseBytes-
#896	NEW    cov: 36 ft: 94 corp: 15/67b lim: 6 exec/s: 1 rss: 433Mb L: 6/6 MS: 1 ChangeByte-
#1024	pulse  cov: 36 ft: 94 corp: 15/67b lim: 6 exec/s: 1 rss: 433Mb
#1103	NEW    cov: 36 ft: 101 corp: 16/75b lim: 8 exec/s: 1 rss: 433Mb L: 8/8 MS: 2 ChangeBinInt-PersAutoDict- DE: "\000\000"-
#1164	NEW    cov: 36 ft: 104 corp: 17/83b lim: 8 exec/s: 1 rss: 433Mb L: 8/8 MS: 1 CrossOver-
#1254	REDUCE cov: 36 ft: 105 corp: 18/90b lim: 8 exec/s: 1 rss: 433Mb L: 7/8 MS: 5 ChangeBit-CrossOver-EraseBytes-InsertByte-PersAutoDict- DE: "\000\000"-
#1355	NEW    cov: 36 ft: 110 corp: 19/97b lim: 8 exec/s: 1 rss: 434Mb L: 7/8 MS: 1 CrossOver-
